,rk,TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
23,7,New York Knicks,66,39,27,3168,116.6,112.2,4.4,58.3,1.78,17.5,33.4,73.3,52.9,13.9,53.5,57.0,96.28,51.4,"6,349"

,rk,TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
10,20,Sacramento Kings,65,38,27,3150,117.1,116.0,1.1,65.0,2.16,20.1,28.1,74.6,50.7,13.2,56.5,59.0,100.2,49.5,"6,573"

,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
574,458,Dmytro Skapintsev,C,25,NYK,2,0,1.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,skapidm01
616,492,Jacob Toppin,SF,23,NYK,9,0,4.2,0.6,1.0,0.556,0.1,0.4,0.25,0.4,0.6,0.8,0.611,0.2,0.2,1.0,0.3,0.4,0.8,0.3,0.0,0.1,0.1,0.3,1.4,toppija01
683,548,Dylan Windler,SF,27,NYK,3,0,2.3,0.3,0.7,0.5,0.3,0.7,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,1.0,windldy01

,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
37,28,Harrison Barnes,PF,31,SAC,65,65,29.3,4.3,8.8,0.489,1.9,4.8,0.406,2.4,4.0,0.588,0.6,1.8,2.2,0.806,0.8,2.1,2.8,1.1,0.7,0.2,0.7,1.3,12.3,barneha02
168,131,Chris Duarte,SF,26,SAC,45,11,13.1,1.4,3.6,0.393,0.8,2.1,0.368,0.6,1.5,0.426,0.5,0.5,0.6,0.759,0.4,1.5,2.0,0.8,0.5,0.1,0.4,1.5,4.1,duartch01
174,137,Kessler Edwards,SF,23,SAC,41,0,4.7,0.5,1.3,0.407,0.3,0.8,0.364,0.2,0.5,0.476,0.519,0.1,0.1,0.667,0.1,0.6,0.7,0.2,0.1,0.1,0.0,0.4,1.5,edwarke02
175,138,Keon Ellis,SG,24,SAC,40,6,12.8,1.3,3.0,0.449,0.9,2.3,0.389,0.5,0.7,0.643,0.597,0.3,0.5,0.632,0.4,1.1,1.5,1.3,0.7,0.4,0.5,1.5,3.8,elliske01
192,148,Jordan Ford,PG,25,SAC,6,0,3.7,0.7,1.2,0.571,0.3,0.5,0.667,0.3,0.7,0.5,0.714,0.3,0.3,1.0,0.0,0.3,0.3,0.3,0.0,0.0,0.2,0.0,2.0,fordjo01
197,151,De'Aaron Fox,PG,26,SAC,57,57,35.6,9.9,21.0,0.474,2.7,7.5,0.364,7.2,13.4,0.535,0.539,4.4,6.1,0.72,0.9,3.4,4.3,5.6,1.9,0.4,2.6,2.6,27.0,foxde01
289,226,Kevin Huerter,SG,25,SAC,62,57,24.9,4.0,9.0,0.445,2.0,5.5,0.363,2.0,3.5,0.573,0.556,0.6,0.8,0.766,0.6,3.0,3.6,2.6,0.7,0.4,0.8,2.2,10.6,huertke01
322,257,Colby Jones,SG,21,SAC,19,0,6.6,0.9,2.5,0.375,0.1,0.7,0.077,0.9,1.8,0.486,0.385,0.1,0.3,0.4,0.5,0.8,1.4,0.6,0.2,0.1,0.3,0.8,2.1,jonesco02
326,261,Mason Jones,SG,25,SAC,1,0,13.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.5,1.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,jonesma05
350,285,Alex Len,C,30,SAC,31,0,8.7,1.2,1.9,0.6,0.0,0.1,0.0,1.2,1.8,0.632,0.6,0.3,0.7,0.476,1.1,1.6,2.7,0.9,0.3,0.5,0.6,1.2,2.6,lenal01
375,303,Trey Lyles,PF,28,SAC,49,0,19.8,2.4,5.3,0.45,1.4,3.7,0.383,1.0,1.7,0.598,0.582,0.9,1.3,0.698,1.0,3.4,4.4,1.1,0.3,0.3,0.6,1.6,7.1,lylestr01
407,325,JaVale McGee,C,36,SAC,40,0,7.9,1.9,2.9,0.632,0.0,0.1,0.2,1.8,2.8,0.652,0.637,0.6,1.1,0.581,0.9,1.9,2.8,0.4,0.3,0.5,0.8,1.1,4.4,mcgeeja01
431,342,Davion Mitchell,PG,25,SAC,55,4,13.7,1.7,3.8,0.452,0.7,2.0,0.333,1.1,1.9,0.578,0.538,0.4,0.5,0.741,0.2,0.9,1.1,1.7,0.2,0.1,0.6,1.2,4.5,mitchda01
435,346,Malik Monk,SG,25,SAC,64,0,26.2,5.6,12.5,0.449,2.2,6.0,0.37,3.4,6.5,0.522,0.538,2.3,2.8,0.811,0.4,2.6,3.0,5.3,0.6,0.6,2.1,2.1,15.7,monkma01
449,358,Keegan Murray,SF,23,SAC,60,60,33.0,5.6,12.1,0.462,2.2,6.1,0.359,3.4,6.0,0.569,0.553,1.4,1.7,0.84,1.3,4.1,5.3,1.6,1.1,0.7,0.9,2.7,14.8,murrake02
491,387,Filip Petrušev,C,23,SAC,2,0,3.5,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,petrufi01
548,436,Domantas Sabonis,C,27,SAC,65,65,35.8,8.1,13.2,0.615,0.4,1.1,0.414,7.7,12.2,0.633,0.632,3.3,4.8,0.7,3.5,10.1,13.6,8.4,0.9,0.6,3.3,3.1,20.1,sabondo01
575,459,Jalen Slawson,SF,24,SAC,6,0,3.3,0.3,0.5,0.667,0.0,0.2,0.0,0.3,0.3,1.0,0.667,0.0,0.0,,0.0,0.8,0.8,0.3,0.0,0.2,0.3,0.7,0.7,slawsja01
618,494,Juan Toscano-Anderson,SF,30,SAC,11,0,4.8,0.3,1.1,0.25,0.1,0.4,0.25,0.2,0.7,0.25,0.292,0.0,0.0,,0.4,0.9,1.3,0.4,0.1,0.1,0.2,1.0,0.6,toscaju01
632,506,Sasha Vezenkov,PF,28,SAC,35,0,12.6,2.1,4.7,0.448,1.1,2.9,0.38,1.0,1.9,0.554,0.564,0.3,0.4,0.769,0.9,1.6,2.5,0.4,0.5,0.2,0.3,1.0,5.6,vezenal01

